Date,Open,High,Low,Close,Volume,Dividends,Splits
2022-01-03 00:00:00-05:00,174.77180525837534,179.73496187327837,174.653873733677,178.87991333007812,104487900,0.0,0.0
2022-01-04 00:00:00-05:00,179.4892694890775,179.79393593953884,176.0396222685355,176.60964965820312,99310400,0.0,0.0
2022-01-05 00:00:00-05:00,176.52118146370043,177.0715485386063,171.63665117934394,171.91183471679688,94537600,0.0,0.0
2022-01-06 00:00:00-05:00,169.73004270966848,172.28533602057317,168.68827412789958,169.04208374023438,96904000,0.0,0.0
2022-01-07 00:00:00-05:00,169.91678674303358,171.14529032437787,168.08877281413805,169.20916748046875,86709100,0.0,0.0
2022-01-10 00:00:00-05:00,166.1722734494287,169.53345670452697,165.27791944101605,169.22879028320312,106765600,0.0,0.0
2022-01-11 00:00:00-05:00,169.3565468312396,172.1673477977068,167.8823429695319,172.06907653808594,76138300,0.0,0.0
2022-01-12 00:00:00-05:00,173.09120251884048,174.13297095610363,171.8135710369917,172.5113525390625,74805200,0.0,0.0
2022-01-13 00:00:00-05:00,172.7570481888216,173.5825988136433,168.83566022635117,169.22879028320312,84505800,0.0,0.0
2022-01-14 00:00:00-05:00,168.39342931174855,170.79147055967272,168.14772861005764,170.09368896484375,80440800,0.0,0.0
2022-01-18 00:00:00-05:00,168.56048225619764,169.57276781693594,166.4966056259258,166.87989807128906,90956700,0.0,0.0
2022-01-19 00:00:00-05:00,167.07644696659617,168.13787560571404,163.08627069140266,163.37127685546875,94815000,0.0,0.0
2022-01-20 00:00:00-05:00,164.10838623013277,166.76195044943782,161.3565357449214,161.6808624267578,91420500,0.0,0.0
2022-01-21 00:00:00-05:00,161.5924017044035,163.46955826967317,159.50886499109,159.61697387695312,122848900,0.0,0.0
2022-01-24 00:00:00-05:00,157.26808565686596,159.50887451917274,152.0395683138979,158.84056091308594,162294600,0.0,0.0
2022-01-25 00:00:00-05:00,156.24596615896806,159.9609590965899,154.31968130054574,157.03221130371094,115798400,0.0,0.0
2022-01-26 00:00:00-05:00,160.6882317654177,161.56292551584528,155.1059199641222,156.94375610351562,108275300,0.0,0.0
2022-01-27 00:00:00-05:00,159.65629046052865,161.02238556956317,155.55800513342504,156.48184204101562,121954600,0.0,0.0
2022-01-28 00:00:00-05:00,162.86022878833853,167.42043234611594,160.00026956448573,167.40077209472656,179935700,0.0,0.0
2022-01-31 00:00:00-05:00,167.2337176205423,171.99047927683918,166.5948868425434,171.77426147460938,115541600,0.0,0.0
2022-02-01 00:00:00-05:00,171.01749012376968,171.83321815334287,169.3467285555597,171.607177734375,86213900,0.0,0.0
2022-02-02 00:00:00-05:00,171.74477342641566,172.8553452866124,170.34919537896823,172.81602478027344,84914300,0.0,0.0
2022-02-03 00:00:00-05:00,171.47940471663034,173.20914700397037,169.1599898283705,169.92657470703125,89418100,0.0,0.0
2022-02-04 00:00:00-05:00,168.9425345214472,171.32396054369477,167.9584796418521,169.64122009277344,82465400,0.22,0.0
2022-02-07 00:00:00-05:00,170.1037296917855,171.17634592324976,168.22418123926562,168.92286682128906,77251200,0.0,0.0
2022-02-08 00:00:00-05:00,168.9917215679186,172.55401004838063,168.69650213361186,172.04229736328125,74829200,0.0,0.0
2022-02-09 00:00:00-05:00,173.24284884864312,173.83327271357754,172.11117683042102,173.46917724609375,71285000,0.0,0.0
2022-02-10 00:00:00-05:00,171.36331383328056,172.68194375053233,168.8146153330359,169.37551879882812,90865900,0.0,0.0
2022-02-11 00:00:00-05:00,169.5821687118747,170.32020982591467,165.36056513089437,165.9510040283203,98670700,0.0,0.0
2022-02-14 00:00:00-05:00,164.70124720629926,166.87601492289843,163.90416522012222,166.1871795654297,86185500,0.0,0.0
2022-02-15 00:00:00-05:00,168.2438788430367,170.19230347259372,167.53535806583648,170.03485107421875,62527400,0.0,0.0
2022-02-16 00:00:00-05:00,169.10980971830162,170.57604164188683,167.3385082183659,169.79864501953125,61177400,0.0,0.0
2022-02-17 00:00:00-05:00,168.30289138097328,169.1688644106395,165.78371349338204,166.1871795654297,69589300,0.0,0.0
2022-02-18 00:00:00-05:00,167.1121922796674,167.82069791691148,163.54006857345092,164.6323699951172,82772700,0.0,0.0
2022-02-22 00:00:00-05:00,162.34938552584524,164.03212613943992,159.56450814551414,161.69992065429688,91162800,0.0,0.0
